episode_rewards,losses,eps_history
9.0,0.26641592383384705,0.976042
13.0,0.2866484820842743,0.975844
24.0,0.2829531133174896,0.975646
24.0,0.12983301281929016,0.975448
13.0,0.09419345110654831,0.97525
4.0,0.0697828158736229,0.975052
28.0,0.08521917462348938,0.974854
7.0,0.12269569933414459,0.974656
20.0,0.164055734872818,0.974458
7.0,0.1805979609489441,0.97426
7.0,0.12422344833612442,0.974062
13.0,0.07964686304330826,0.973864
17.0,0.07302790880203247,0.973666
29.0,0.06342683732509613,0.973468
5.0,0.09400547295808792,0.97327
43.0,0.14742141962051392,0.973072
10.0,0.10495300590991974,0.972874
10.0,0.08680031448602676,0.972676
6.0,0.4707822799682617,0.972478
20.0,0.4416898787021637,0.97228
19.0,0.31733134388923645,0.972082
17.0,0.18666258454322815,0.971884
61.0,0.1204928308725357,0.971686
5.0,0.11349938809871674,0.971488
19.0,0.1499790996313095,0.97129
6.0,0.3208245038986206,0.971092
14.0,0.28984981775283813,0.970894
15.0,0.22046279907226562,0.970696
8.0,0.1132577657699585,0.970498
24.0,0.08432234078645706,0.9703
5.0,0.11175859719514847,0.970102
8.0,0.19520804286003113,0.969904
44.0,0.13773338496685028,0.969706
20.0,0.16214174032211304,0.969508
29.0,0.1220381036400795,0.96931
8.0,0.09634512662887573,0.969112
13.0,0.07980519533157349,0.968914
44.0,0.1047942116856575,0.968716
5.0,0.11725883185863495,0.968518
57.0,0.14249707758426666,0.96832
12.0,0.0997384786605835,0.968122
4.0,0.09224576503038406,0.967924
17.0,0.06789001077413559,0.967726
64.0,0.3560697138309479,0.9675279999999999
23.0,0.3249701261520386,0.96733
11.0,0.22960485517978668,0.967132
26.0,0.10715484619140625,0.966934
34.0,0.07327117025852203,0.966736
44.0,0.10792507976293564,0.966538
20.0,0.17876148223876953,0.96634
49.0,0.18258167803287506,0.9661420000000001
41.0,0.16394175589084625,0.965944
8.0,0.09506288170814514,0.965746
36.0,0.0631852000951767,0.965548
8.0,0.05783434212207794,0.96535
10.0,0.11608504503965378,0.965152
25.0,0.1310521364212036,0.964954
62.0,0.12503468990325928,0.964756
14.0,0.08758625388145447,0.964558
13.0,0.0549539215862751,0.96436
99.0,0.061348430812358856,0.964162
41.0,0.06695263087749481,0.963964
52.0,0.09886348247528076,0.963766
19.0,0.07065026462078094,0.963568
22.0,0.08548755943775177,0.9633700000000001
58.0,0.06954297423362732,0.963172
18.0,0.05629069358110428,0.962974
126.0,0.06860631704330444,0.962776
199.0,0.2997225522994995,0.962578
37.0,0.2440997064113617,0.96238
44.0,0.12577344477176666,0.962182
81.0,0.09076529741287231,0.961984
70.0,0.09277209639549255,0.961786
109.0,0.14260438084602356,0.961588
174.0,0.14286741614341736,0.96139
104.0,0.14538420736789703,0.961192
103.0,0.1358957439661026,0.960994
18.0,0.08639760315418243,0.960796
34.0,0.08845355361700058,0.960598
8.0,0.10401976108551025,0.9604
133.0,0.10341726243495941,0.960202
116.0,0.08813738822937012,0.960004
107.0,0.10080042481422424,0.959806
21.0,0.07755009829998016,0.959608
90.0,0.06730285286903381,0.95941
199.0,0.07686414569616318,0.959212
199.0,0.09715550392866135,0.959014
199.0,0.06610258668661118,0.958816
199.0,0.08072475343942642,0.958618
143.0,0.0840066596865654,0.95842
199.0,0.08156454563140869,0.958222
199.0,0.06537428498268127,0.958024
79.0,0.0650385245680809,0.957826
199.0,0.23240166902542114,0.957628
46.0,0.17891113460063934,0.95743
183.0,0.10312805324792862,0.957232
199.0,0.07431468367576599,0.957034
199.0,0.1605253368616104,0.956836
199.0,0.12078387290239334,0.956638
199.0,0.13509126007556915,0.95644
199.0,0.09064219146966934,0.956242
199.0,0.07360642403364182,0.956044
189.0,0.08167271316051483,0.955846
199.0,0.08603372424840927,0.955648
199.0,0.07372914254665375,0.95545
199.0,0.10188797116279602,0.955252
199.0,0.06643158197402954,0.955054
113.0,0.07135145366191864,0.954856
199.0,0.09807616472244263,0.954658
199.0,0.09394346177577972,0.95446
199.0,0.08949078619480133,0.954262
199.0,0.06475023180246353,0.954064
199.0,0.04914574325084686,0.953866
199.0,0.0524727888405323,0.953668
199.0,0.06673181056976318,0.95347
199.0,0.09205029159784317,0.953272
199.0,0.09516694396734238,0.953074
199.0,0.0563468374311924,0.9528760000000001
199.0,0.1857917755842209,0.952678
199.0,0.14330719411373138,0.95248
199.0,0.06544363498687744,0.952282
199.0,0.06776730716228485,0.952084
170.0,0.10071201622486115,0.951886
99.0,0.1432303488254547,0.951688
109.0,0.1260807067155838,0.95149
